Comment,Designator,Footprint,LCSC Part #
1.3M,R9,R0402,
1M,R8,R0402,
1k65,R6,R0402,C852615
3.3k,R10,R0402,
3k3,R7,R0402,
4.7k,R13 R14,R0402,
5.1k,R4 R5 R16 R17,R0402,
10k,R1 R2 R3 R11 R21 R22,R0402,
10uF/16V,C4 C5 C7 C9 C13,C0603,
22uF,C10 C16,C0603,
47k,R15 R18 R19 R20,R0402,
47uF,C2,C0603,
100k,R12,R0402,
100n,C11 C12,C0402,
100nF,C1,C0603,
100nF,C3 C6 C8 C14,C0402,
AO3401,Q2,SOT23,
BAT60B,D3,SOD323-R,
CH9102F,IC3,QFN24-4X4,
DMG2305UX,Q4 Q6,MICRO3,C144153
EN button,RESET,TS1088R02026,C455280
ESP32-S3-WROOM-1-N16,IC5,ESP32S3WROOM1N16,
JST-PH-2_SMD/90SMD,BATTERY,S2B-PH-SM4,C47647
LESD5D5.0CT1G,D5 D6 D7 D8 D9 D10,LESD5D50CT1G,
MMDT3904,Q1,SC70-6,C268586
MMDT5401,Q3 Q5,SC70-6,C54540
RED,CHARGING,CHIP-LED0603,C2286
RT9080-33GJ5,IC1 IC2,SOT94P280X100-5N,
SK6812-EC20,LED_IO45,SK6812EC20,
TP4054,U1,SOT-23-5,C32574
USB-C_GT-USB-7010B,J4 J6,G-SWITCH_GT-USB-7010B,C2837092
USUP_4P_V,J3,1X04_1MM_RA,
USUP_SPI_CONNECTOR_VERT,J5,1X06_1MM_RA_VERT,C145963
user button,IO8,TS1088R02026,C455280
